identifiant,nom,adresse,description,auteur,latitude,longitude,photo,sourcePhoto,ordre,annee
1,Palais du Louvre,"107 Rue de Rivoli, 75001 Paris",Marguerite de Navarre et Marguerite de Valois ont toutes deux habité au Louvre. Marguerite de Valois y a notamment vécu la Saint-Barthélemy. Marguerite Yourcenar aimait beaucoup le Palais du Louvre.,P. Gambette,48.8632548,2.3330193,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape01.jpg,"https://www.google.fr/maps/@48.8602508,2.3383119,3a,75y,329.35h,118.06t/data=!3m8!1e1!3m6!1sAF1QipPkgZcatyJvBH92Zz1iloDTF0HJn4ULF0zvC4vP!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPkgZcatyJvBH92Zz1iloDTF0HJn4ULF0zvC4vP%3Dw203-h100-k-no-pi-0-ya124.25756-ro0-fo100!7i8704!8i4352",1,1614
2,Académie française,"23 Quai de Conti, 75270 Paris","Marguerite Yourcenar est devenue la première femme élue à l'Académie française, le 6 mars 1980",P. Gambette,48.857296,2.337343,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape02.jpg,"https://www.google.fr/maps/@48.8576767,2.3371442,3a,75y,201.23h,106.37t/data=!3m6!1e1!3m4!1sPOaGYiC4w8g2_YR52J-Arg!2e0!7i16384!8i8192",2,1980
3,Palais de la Reine Marguerite,"6 rue de Seine, Paris",Marguerite de Valois a vécu de 1606 à sa mort en 1615 dans le palais qu’elle a fait construire sur un vaste terrain allant de la rue de Seine à la rue des Saints-Pères et à la rue Visconti au Nord.,P. Gambette,48.857196,2.336427,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape03.jpg,"https://www.google.fr/maps/@48.8568375,2.3365399,3a,75y,293.97h,108.13t/data=!3m6!1e1!3m4!1sbLb8dNm1iduzaa3oQgvqgg!2e0!7i16384!8i8192",3,1606
4,Appartement de Marguerite Duras à partir de 1942,"5 rue Saint-Benoît, Paris","Depuis le 5 octobre 2011, une plaque indique l'immeuble où a vécu Marguerite Duras à partir de 1942, au 5 rue Saint-Benoît.",P. Gambette,48.85525,2.333338,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape04.jpg,"https://www.google.fr/maps/@48.8553071,2.33329,3a,37.5y,135.1h,98.05t/data=!3m6!1e1!3m4!1svVExN2hXcpEC6ELPLtOc8w!2e0!7i16384!8i8192",6,
5,Editions des femmes,"33 rue Jacob, 75006 Paris","Les Editions des femmes - Antoinette Fouque ont publié le <a href=""https://www.dictionnaire-creatrices.com/recherche?q=marguerite""><i>Dictionnaire universel des créatrices</i></a>, qui recense plus de 40 créatrices prénommées Marguerite. Dans leur collection <i>La bibliothèque des voix</i>, on trouve quatre textes de Marguerite Duras, lus par l'autrice, Fanny Ardant, Sami Frey et Catherine Deneuve.",P. Gambette,48.855667,2.333325,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape05.jpg,"https://www.google.com/maps/@48.855694,2.33338,3a,75y,244.84h,93.07t/data=!3m7!1e1!3m5!1skN0ykmX7QlCnhnCXEPf5_Q!2e0!5s20190501T000000!7i16384!8i8192?hl=fr",5,
6,Mercure de France,"26 rue de Condé, 75006 Paris","Rachilde tenait salon, le mardi en fin d'après-midi, dans l'appartement de fonction qu'elle et son mari Alfred Vallette occupaient dans l'immeuble du <i>Mercure de France</i>, où elle était chargée de la chronique des romans.",P. Gambette,48.850125,2.3379,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape06.jpg,"https://www.google.com/maps/@48.8502246,2.3380048,3a,75y,239.74h,103.76t/data=!3m6!1e1!3m4!1sPAPdQGE8nxdMe_nMT_o59g!2e0!7i13312!8i6656?hl=fr",7,
7,Jardin du Luxembourg,"Bassin du Jardin du Luxembourg, 75006 Paris",La statue de Marguerite de Navarre située dans le jardin du Luxembourg est commandée en 1845 et exécutée en 1848 par Joseph-Stanislas Lescorné.,P. Gambette,48.8461596,2.3364235,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape07.jpg,"https://www.google.fr/maps/@48.8461525,2.3364908,2a,37.5y,340.18h,91.99t/data=!3m6!1e1!3m4!1soXFY4tsEDTmJ9SDejq-g-A!2e0!7i13312!8i6656",8,
8,Mairie du cinquième arrondissement,"21 Place du Panthéon, 75005 Paris","La bibliothèque Marguerite Durand, spécialisée dans le féminisme, était située, de 1932 à 1989, au dernier étage de la mairie du cinquième arrondissement de Paris",P. Gambette,48.846198,2.344591,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape08.jpg,"https://www.google.fr/maps/@48.846658,2.3448449,3a,30y,209.6h,104.32t/data=!3m6!1e1!3m4!1sM0d-gi1EYA5JoH-RsaZqtQ!2e0!7i16384!8i8192",9,
9,Place Maubert,"Place Maubert, 75005 Paris","Antoine Augereau publie en 1533 le <i>Miroir de l'âme pécheresse</i> de Marguerite de Navarre, qui est condamné par la Sorbonne. Il est condamné, suite à l'affaire des placards, à être pendu, étranglé, et brûlé place Maubert.",P. Gambette,48.8502206,2.3486818,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape09.jpg,"https://www.google.com/maps/@48.8501297,2.3481453,3a,75y,56.94h,98.48t/data=!3m6!1e1!3m4!1sgZMcnc4On5vqZTFCjYodBA!2e0!7i16384!8i8192",10,
10,Notre-Dame de Paris,"6 Parvis Notre-Dame, Place Jean-Paul II, 75004 Paris","Dans le court métrage <i>Aurélia Steiner</i> réalisé par Marguerite Duras en 1979, la caméra qui descend la Seine passe à proximité de la cathédrale Notre-Dame-de-Paris.",P. Gambette,48.8529371,2.3500501,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape10.jpg,"https://www.google.fr/maps/@48.8526062,2.3484523,3a,75y,65.84h,111.42t/data=!3m6!1e1!3m4!1sErAKtQk-R9ZgPgxiEElMLA!2e0!7i13312!8i6656",11,
11,Place de Grève,"31 rue de Rivoli, 75001 Paris","Marguerite Porete, une béguine née vers 1250, a été condamnée pour hérésie et brûlée sur la place de Grève le 1<sup>er</sup> juin 1310 avec son livre <i>Le Miroir des âmes simples</i>.",P. Gambette,48.857438,2.351202,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape11.jpg,"https://www.google.fr/maps/@48.8567453,2.3512671,3a,75y,109.94h,101.12t/data=!3m6!1e1!3m4!1sO6hjX-vaUhqY72ioug2P_w!2e0!7i13312!8i6656",12,
12,Chapelle des louanges Petits-Augustins ,"14 rue Bonaparte, 75006 Paris","Accolée à la chapelle du couvent des Petits-Augustins, la chapelle des louanges, de forme hexagonale, a été construite pour Marguerite de Valois en 1608. ",P. Gambette,48.8571319,2.333844,https://igm.univ-mlv.fr/~gambette/gallicarte/images/MargueriteEtape13.jpg,"https://www.google.fr/maps/@48.8563831,2.3345383,3a,37.5y,339.66h,104.36t/data=!3m6!1e1!3m4!1sqSjSkIFm_m2Mzyr8FfVB6Q!2e0!7i13312!8i6656",4,